ssignment,Organization Name,Organization Address
8C210A,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan shenzhen guangdong Province CN 518057 "
EC172F,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan shenzhen guangdong Province CN 518057 "
EC888F,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park Shenzhen Guangdong CN 518057 "
14CF92,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4) shenzhen guangdong Province CN 518057 "
645601,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4) Shennan Rd, Nanshan Shenzhen,Guangdong Province CN 518057 "
14CC20,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4) Shennan Rd, Nanshan Shenzhen,Guangdong Province CN 518057 "
BC4699,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4) Shennan Rd, Nanshan Shenzhen,Guangdong Province CN 518057 "
0C45BA,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
847778,Cochlear Limited,1 University Avenue Sydney New South Wales AU 2109 
0453D5,Sysorex Global Holdings,Suite 195 2479 E. Bayshore Road Palo Alto CA US 94303 
CC4463,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
6C72E7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
CCA223,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
E8088B,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
60E701,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
000883,Hewlett Packard,MAIL STOP 42LE CUPERTINO CA US 95014 
C4346B,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
8CDCD4,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
3464A9,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
D4C9EF,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
A45D36,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
A0D3C1,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
40A8F0,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
6C3BE5,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
082E5F,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
28924A,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
10604B,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
308D99,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
0030C1,Hewlett Packard,11000 WOLFE ROAD CUPERTINO CA US 95014 
FC3FDB,Hewlett Packard,11445 Compaq Center Drive Houston TX US 77070 
4CA161,Rain Bird Corporation,970 West Sierra Madre Ave. AZUSA CA US 91702 
7C6193,HTC Corporation,"No. 23, Xinghua Rd.,  Taoyuan County  TW 330 "
001217,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
000C41,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
000F66,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
44E08E,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
185933,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
E448C7,Cisco SPVTG,5030 Sugarloaf Pkwy Lawrenceville GA US 30044 
24767D,Cisco SPVTG,5030 Sugarloaf Pkwy Lawrenceville GA US 30044 
2CABA4,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
0002C7,"ALPS ELECTRIC CO.,LTD.","1-2-1, Okinouchi, Sama-City, Sama  JP 00000 "
04766E,"ALPS ELECTRIC CO.,LTD.","6-3-36 Furukawanakazato, Osaki Miyagi-pref JP 989-6181 "
006B8E,"Shanghai Feixun Communication Co.,Ltd.","Building 90,No,4855,Guangfulin Road shanghai Shanghai CN 201616 "
AC853D,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen Shenzhen Guangdong CN 518129 "
74882A,"HUAWEI TECHNOLOGIES CO.,LTD","D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 "
78D752,"HUAWEI TECHNOLOGIES CO.,LTD","D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 "
E0247F,"HUAWEI TECHNOLOGIES CO.,LTD","D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 "
00464B,"HUAWEI TECHNOLOGIES CO.,LTD","D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 "
707BE8,"HUAWEI TECHNOLOGIES CO.,LTD","D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 "
548998,"HUAWEI TECHNOLOGIES CO.,LTD","D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 "
0819A6,"HUAWEI TECHNOLOGIES CO.,LTD","D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 "
3CF808,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 "
B41513,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 "
283152,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 "
DCD2FC,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 "
0003DD,Comark Interactive Solutions,93 West St. Medfield MA US 02052 
00107B,"Cisco Systems, Inc",170 W.TASMAN DR.-SJA-2 SAN JOSE CA US 95134-1706 
00906D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
0090BF,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
005080,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
00E018,ASUSTek COMPUTER INC.,"150 LI-TE RD. PEITOU, TAIPEI  TW 77777 "
000C6E,ASUSTek COMPUTER INC.,"150, Li-Te Rd., PeiTou Taipei  TW 112 "
001BFC,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou Taipei  TW 112 "
001E8C,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou Taipei  TW 112 "
0015F2,ASUSTek COMPUTER INC.,"No.5 Shing Yeh Street,Kwei Shan Hsiang,Taoyuan Taipei  TW 333 "
002354,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan Taipei Taiwan TW 112 "
001FC6,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan Taipei Taiwan TW 112 "
60182E,ShenZhen Protruly Electronic Ltd co.,ShenNan Road 1004 Shen Zhen GuangDong CN 518000 
F4CFE2,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
501CBF,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
285FDB,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District, Shenzhen Guangdong CN 518108 "
404D8E,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District, Shenzhen Guangdong CN 518108 "
781DBA,"HUAWEI TECHNOLOGIES CO.,LTD","HUAWEI Industrial Base Bantian,Longgang Shenzhen guangdong CN 518129 "
001E10,"HUAWEI TECHNOLOGIES CO.,LTD","HUAWEI INDUSTRIAL PK BANTIAN, LONGGANG DIST SHENZHEN SHENZHEN GUANGDONG CN 518077 "
88F031,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
508789,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
381C1A,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
F40F1B,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
BC671C,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
A0ECF9,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
D46D50,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
1CE85D,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
C47295,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
A0554F,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
84B802,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
BCC493,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
001947,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
0022CE,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30042 
F02929,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
ECE1A9,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
7C69F6,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
C08C60,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
C0255C,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
885A92,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
E4C722,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
C07BBC,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
0090F2,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
00173B,"Cisco Systems, Inc",170 West Tasman Dr. San Jose CA US 95134-1706 
00400B,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
006009,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
006047,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
0006C1,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
00E014,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
00E01E,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
ACF2C5,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
CCC760,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
087402,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
285AEB,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
28F076,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
84285A,Saffron Solutions Inc,1337 Mass Ave #273 Arlington MA US 02476 
80A1AB,Intellisis,10350 Science Center Dr San Diego CA US 92121 
44D884,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
EC852F,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
286ABA,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
705681,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
7CD1C3,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
F0DCE2,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
B065BD,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
A82066,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
BC6778,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
68967B,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
848506,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
B4F0AB,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
10DDB1,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
04F7E4,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
34C059,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
F0D1A9,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
F82793,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
ACFDEC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
D0E140,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
F832E4,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
8C7C92,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
7831C1,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
F437B7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
54AE27,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
6476BA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
84B153,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
783A84,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
2CBE08,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
24E314,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
0010FF,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
34BDC8,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
54A274,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
5897BD,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
046C9D,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
60FEC5,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
00A040,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
BC3BAF,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
786C1C,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
041552,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
38484C,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
701124,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
C86F1D,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
685B35,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
380F4A,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
3010E4,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
04DB56,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
881FA1,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
04E536,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
109ADD,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
40A6D9,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
7CF05F,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
A4B197,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
0C74C2,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
403004,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
4860BC,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
50EAD6,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
28E02C,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
60C547,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
7C11BE,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
003EE1,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
68D93C,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
2CF0EE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
84788B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
6C94F8,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
703EAC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
C01ADA,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
34363B,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
C81EE7,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
9CFC01,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
000D93,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
001CB3,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
64B9E8,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
34159E,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
58B035,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
F0B479,"Apple, Inc.",1 Infinite Loop CUPERTINO CA US 95014 
141357,"ATP Electronics, Inc.",2590 North First Street Suite 150 San Jose CA US 95131 
